"hid","doc_id","year","region","station","country","act","class"
"HID0188","MD1885",1885,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military"
"HID0189","MD1885",1885,"Madras Presidency","Belgaum","British India","Act XXII of 1864","Military"
"HID0190","MD1885",1885,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military"
"HID0191","MD1885",1885,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil"
"HID0192","BB1885",1885,"British Burma Division","Rangoon","British Burma","Act XIV of 1868","Civil"
"HID0193","BB1885",1885,"British Burma Division","Thayetmyo","British Burma","Act XIV of 1868","Civil"
"HID0194","BB1885",1885,"British Burma Division","Tonghoo","British Burma","Act XIV of 1868","Civil"
"HID0195","MD1886",1886,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military"
"HID0196","MD1886",1886,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military"
"HID0197","MD1886",1886,"Madras Presidency","Belgaum","British India","Act XXII of 1864","Military"
"HID0198","MD1886",1886,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military"
"HID0199","MD1886",1886,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military"
"HID0200","MD1886",1886,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military"
"HID0201","MD1886",1886,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military"
"HID0202","MD1886",1886,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military"
"HID0203","MD1886",1886,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military"
"HID0204","MD1886",1886,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil"
"HID0205","BB1886",1886,"British Burma Division","Rangoon","British Burma","Act XIV of 1868","Civil"
"HID0206","BB1886",1886,"British Burma Division","Thayetmyo","British Burma","Act XIV of 1868","Civil"
"HID0207","BB1886",1886,"British Burma Division","Tonghoo","British Burma","Act XIV of 1868","Civil"
"HID0208","MD1887",1887,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military"
"HID0209","MD1887",1887,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military"
"HID0210","MD1887",1887,"Madras Presidency","Belgaum","British India","Act XXII of 1864","Military"
"HID0211","MD1887",1887,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military"
"HID0212","MD1887",1887,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military"
"HID0213","MD1887",1887,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military"
"HID0214","MD1887",1887,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military"
"HID0215","MD1887",1887,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military"
"HID0216","MD1887",1887,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military"
"HID0217","MD1887",1887,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil"
"HID0218","BB1887",1887,"British Burma Division","Rangoon","British Burma","Act XIV of 1868","Civil"
"HID0219","BB1887",1887,"British Burma Division","Thayetmyo","British Burma","Act XIV of 1868","Civil"
"HID0220","BB1887",1887,"British Burma Division","Tonghoo","British Burma","Act XIV of 1868","Civil"
"HID0221","MD1888",1888,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military"
"HID0222","MD1888",1888,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military"
"HID0223","MD1888",1888,"Madras Presidency","Belgaum","British India","Act XXII of 1864","Military"
"HID0224","MD1888",1888,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military"
"HID0225","MD1888",1888,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military"
"HID0226","MD1888",1888,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military"
"HID0227","MD1888",1888,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military"
"HID0228","MD1888",1888,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military"
"HID0229","MD1888",1888,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military"
"HID0230","MD1888",1888,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil"
"HID0231","BB1888",1888,"British Burma Division","Rangoon","British Burma","Act XIV of 1868","Civil"
"HID0232","BB1888",1888,"British Burma Division","Thayetmyo","British Burma","Act XIV of 1868","Civil"
"HID0233","BB1888",1888,"British Burma Division","Tonghoo","British Burma","Act XIV of 1868","Civil"
"HID0234","MD1889",1889,"Madras Presidency","Bangalore","British India","Act XXII of 1864","Military"
"HID0235","MD1889",1889,"Madras Presidency","Bellary","British India","Act XXII of 1864","Military"
"HID0236","MD1889",1889,"Madras Presidency","Belgaum","British India","Act XXII of 1864","Military"
"HID0237","MD1889",1889,"Madras Presidency","Cannanore","British India","Act XXII of 1864","Military"
"HID0238","MD1889",1889,"Madras Presidency","Kamptee","British India","Act XXII of 1864","Military"
"HID0239","MD1889",1889,"Madras Presidency","St. Thomas' Mount","British India","Act XXII of 1864","Military"
"HID0240","MD1889",1889,"Madras Presidency","Secunderabad","British India","Act XXII of 1864","Military"
"HID0241","MD1889",1889,"Madras Presidency","Wellington","British India","Act XXII of 1864","Military"
"HID0242","MD1889",1889,"Madras Presidency","Seetabuldee","British India","Act XXII of 1864","Military"
"HID0243","MD1889",1889,"Madras Presidency","Madras","British India","Act XIV of 1868","Civil"
"HID0244","BB1889",1889,"British Burma Division","Rangoon","British Burma","Act XIV of 1868","Civil"
"HID0245","BB1889",1889,"British Burma Division","Thayetmyo","British Burma","Act XIV of 1868","Civil"
"HID0246","BB1889",1889,"British Burma Division","Tonghoo","British Burma","Act XIV of 1868","Civil"
"HID0247","BB1873",1873,"British Burma Division","Rangoon","British India","Act XXII of 1864","Second Class"
"HID0248","BB1873",1873,"British Burma Division","Bassein","British India","Act XIV of 1868","Third Class"
"HID0249","BB1873",1873,"British Burma Division","Prome","British India","Act XIV of 1868","Second Class"
"HID0250","BB1873",1873,"British Burma Division","Thayetmyo","British India","Act XXII of 1864","Second Class"
"HID0251","BB1873",1873,"British Burma Division","Akyab","British India","Act XIV of 1868","Second Class"
"HID0252","BB1873",1873,"British Burma Division","Moulmein","British India","Act XIV of 1868","Second Class"
"HID0253","BB1875",1875,"British Burma Division","Rangoon","British India","Act XXII of 1864","Second Class"
"HID0254","BB1875",1875,"British Burma Division","Bassein","British India","Act XIV of 1868","Third Class"
"HID0255","BB1875",1875,"British Burma Division","Prome","British India","Act XIV of 1868","Second Class"
"HID0256","BB1875",1875,"British Burma Division","Thayetmyo","British India","Act XXII of 1864","Second Class"
"HID0257","BB1875",1875,"British Burma Division","Akyab","British India","Act XIV of 1868","Second Class"
"HID0258","BB1875",1875,"British Burma Division","Moulmein","British India","Act XIV of 1868","Second Class"
"HID0259","BB1877",1877,"British Burma Division","Rangoon","British India","Act XXII of 1864","Second Class"
"HID0260","BB1877",1877,"British Burma Division","Bassein","British India","Act XIV of 1868","Third Class"
"HID0261","BB1877",1877,"British Burma Division","Prome","British India","Act XIV of 1868","Second Class"
"HID0262","BB1877",1877,"British Burma Division","Thayetmyo","British India","Act XXII of 1864","Second Class"
"HID0263","BB1877",1877,"British Burma Division","Akyab","British India","Act XIV of 1868","Second Class"
"HID0264","BB1877",1877,"British Burma Division","Moulmein","British India","Act XIV of 1868","Second Class"
"HID0265","BB1877",1877,"British Burma Division","Toungoo","British India","Act XIV of 1868","Third Class"
"HID0266","BB1877",1877,"British Burma Division","Henzada","British India","Act XIV of 1868","Third Class"
"HID0267","BB1878",1878,"British Burma Division","Rangoon","British India","Act XXII of 1864","Second Class"
"HID0268","BB1878",1878,"British Burma Division","Bassein","British India","Act XIV of 1868","Third Class"
"HID0269","BB1878",1878,"British Burma Division","Prome","British India","Act XIV of 1868","Second Class"
"HID0270","BB1878",1878,"British Burma Division","Thayetmyo","British India","Act XXII of 1864","Second Class"
"HID0271","BB1878",1878,"British Burma Division","Akyab","British India","Act XIV of 1868","Second Class"
"HID0272","BB1878",1878,"British Burma Division","Moulmein","British India","Act XIV of 1868","Second Class"
"HID0273","BB1878",1878,"British Burma Division","Toungoo","British India","Act XIV of 1868","Third Class"
"HID0274","BB1878",1878,"British Burma Division","Henzada","British India","Act XIV of 1868","Third Class"
"HID0275","BB1879",1879,"British Burma Division","Rangoon","British India","Act XXII of 1864","Second Class"
"HID0276","BB1879",1879,"British Burma Division","Bassein","British India","Act XIV of 1868","Third Class"
"HID0277","BB1879",1879,"British Burma Division","Prome","British India","Act XIV of 1868","Second Class"
"HID0278","BB1879",1879,"British Burma Division","Thayetmyo","British India","Act XXII of 1864","Second Class"
"HID0279","BB1879",1879,"British Burma Division","Akyab","British India","Act XIV of 1868","Second Class"
"HID0280","BB1879",1879,"British Burma Division","Moulmein","British India","Act XIV of 1868","Second Class"
"HID0281","BB1879",1879,"British Burma Division","Toungoo","British India","Act XIV of 1868","Third Class"
"HID0282","BB1879",1879,"British Burma Division","Henzada","British India","Act XIV of 1868","Third Class"
"HID0283","BB1880",1880,"British Burma Division","Rangoon","British India","Act XXII of 1864","Second Class"
"HID0284","BB1880",1880,"British Burma Division","Bassein","British India","Act XIV of 1868","Third Class"
"HID0285","BB1880",1880,"British Burma Division","Prome","British India","Act XIV of 1868","Second Class"
"HID0286","BB1880",1880,"British Burma Division","Thayetmyo","British India","Act XXII of 1864","Second Class"
"HID0287","BB1880",1880,"British Burma Division","Akyab","British India","Act XIV of 1868","Second Class"
"HID0288","BB1880",1880,"British Burma Division","Moulmein","British India","Act XIV of 1868","Second Class"
"HID0289","BB1880",1880,"British Burma Division","Toungoo","British India","Act XIV of 1868","Third Class"
"HID0290","BB1880",1880,"British Burma Division","Henzada","British India","Act XIV of 1868","Third Class"
"HID0291","BB1881",1881,"British Burma Division","Rangoon","British India","Act XXII of 1864","Second Class"
"HID0292","BB1881",1881,"British Burma Division","Bassein","British India","Act XIV of 1868","Third Class"
"HID0293","BB1881",1881,"British Burma Division","Prome","British India","Act XIV of 1868","Second Class"
"HID0294","BB1881",1881,"British Burma Division","Thayetmyo","British India","Act XXII of 1864","Second Class"
"HID0295","BB1881",1881,"British Burma Division","Akyab","British India","Act XIV of 1868","Second Class"
"HID0296","BB1881",1881,"British Burma Division","Moulmein","British India","Act XIV of 1868","Second Class"
"HID0297","BB1881",1881,"British Burma Division","Toungoo","British India","Act XIV of 1868","Third Class"
"HID0298","BB1881",1881,"British Burma Division","Henzada","British India","Act XIV of 1868","Third Class"
"HID0299","BB1882",1882,"British Burma Division","Rangoon","British India","Act XXII of 1864","Second Class"
"HID0300","BB1882",1882,"British Burma Division","Bassein","British India","Act XIV of 1868","Third Class"
"HID0301","BB1882",1882,"British Burma Division","Prome","British India","Act XIV of 1868","Second Class"
"HID0302","BB1882",1882,"British Burma Division","Thayetmyo","British India","Act XXII of 1864","Second Class"
"HID0303","BB1882",1882,"British Burma Division","Akyab","British India","Act XIV of 1868","Second Class"
"HID0304","BB1882",1882,"British Burma Division","Moulmein","British India","Act XIV of 1868","Second Class"
"HID0305","BB1882",1882,"British Burma Division","Toungoo","British India","Act XIV of 1868","Third Class"
"HID0306","BB1882",1882,"British Burma Division","Henzada","British India","Act XIV of 1868","Third Class"
"HID0307","BB1883",1883,"British Burma Division","Rangoon","British India","Act XXII of 1864","Second Class"
"HID0308","BB1883",1883,"British Burma Division","Bassein","British India","Act XIV of 1868","Third Class"
"HID0309","BB1883",1883,"British Burma Division","Prome","British India","Act XIV of 1868","Second Class"
"HID0310","BB1883",1883,"British Burma Division","Thayetmyo","British India","Act XXII of 1864","Second Class"
"HID0311","BB1883",1883,"British Burma Division","Akyab","British India","Act XIV of 1868","Second Class"
"HID0312","BB1883",1883,"British Burma Division","Moulmein","British India","Act XIV of 1868","Second Class"
"HID0313","BB1883",1883,"British Burma Division","Toungoo","British India","Act XIV of 1868","Third Class"
"HID0314","BB1883",1883,"British Burma Division","Henzada","British India","Act XIV of 1868","Third Class"
"HID0315","BB1884",1884,"British Burma Division","Rangoon","British India","Act XXII of 1864","Second Class"
"HID0316","BB1884",1884,"British Burma Division","Bassein","British India","Act XIV of 1868","Third Class"
"HID0317","BB1884",1884,"British Burma Division","Prome","British India","Act XIV of 1868","Second Class"
"HID0318","BB1884",1884,"British Burma Division","Thayetmyo","British India","Act XXII of 1864","Second Class"
"HID0319","BB1884",1884,"British Burma Division","Akyab","British India","Act XIV of 1868","Second Class"
"HID0320","BB1884",1884,"British Burma Division","Moulmein","British India","Act XIV of 1868","Second Class"
"HID0321","BB1884",1884,"British Burma Division","Toungoo","British India","Act XIV of 1868","Third Class"
"HID0322","BB1884",1884,"British Burma Division","Henzada","British India","Act XIV of 1868","Third Class"
"HID0323","BB1885",1885,"British Burma Division","Rangoon","British India","Act XXII of 1864","Second Class"
"HID0324","BB1885",1885,"British Burma Division","Bassein","British India","Act XIV of 1868","Third Class"
"HID0325","BB1885",1885,"British Burma Division","Prome","British India","Act XIV of 1868","Second Class"
"HID0326","BB1885",1885,"British Burma Division","Thayetmyo","British India","Act XXII of 1864","Second Class"
"HID0327","BB1885",1885,"British Burma Division","Akyab","British India","Act XIV of 1868","Second Class"
"HID0328","BB1885",1885,"British Burma Division","Moulmein","British India","Act XIV of 1868","Second Class"
"HID0329","BB1885",1885,"British Burma Division","Toungoo","British India","Act XIV of 1868","Third Class"
"HID0330","BB1885",1885,"British Burma Division","Henzada","British India","Act XIV of 1868","Third Class"
"HID0331","BB1886",1886,"British Burma Division","Rangoon","British India","Act XXII of 1864","Second Class"
"HID0332","BB1886",1886,"British Burma Division","Bassein","British India","Act XIV of 1868","Third Class"
"HID0333","BB1886",1886,"British Burma Division","Prome","British India","Act XIV of 1868","Second Class"
"HID0334","BB1886",1886,"British Burma Division","Thayetmyo","British India","Act XXII of 1864","Second Class"
"HID0335","BB1886",1886,"British Burma Division","Akyab","British India","Act XIV of 1868","Second Class"
"HID0336","BB1886",1886,"British Burma Division","Moulmein","British India","Act XIV of 1868","Second Class"
"HID0337","BB1886",1886,"British Burma Division","Toungoo","British India","Act XIV of 1868","Third Class"
"HID0338","BB1886",1886,"British Burma Division","Henzada","British India","Act XIV of 1868","Third Class"
"HID0339","BB1887",1887,"British Burma Division","Rangoon","British India","Act XXII of 1864","Second Class"
"HID0340","BB1887",1887,"British Burma Division","Bassein","British India","Act XIV of 1868","Third Class"
"HID0341","BB1887",1887,"British Burma Division","Prome","British India","Act XIV of 1868","Second Class"
"HID0342","BB1887",1887,"British Burma Division","Thayetmyo","British India","Act XXII of 1864","Second Class"
"HID0343","BB1887",1887,"British Burma Division","Akyab","British India","Act XIV of 1868","Second Class"
"HID0344","BB1887",1887,"British Burma Division","Moulmein","British India","Act XIV of 1868","Second Class"
"HID0345","BB1887",1887,"British Burma Division","Toungoo","British India","Act XIV of 1868","Third Class"
"HID0346","BB1887",1887,"British Burma Division","Henzada","British India","Act XIV of 1868","Third Class"
"HID0347","BB1888",1888,"British Burma Division","Rangoon","British India","Act XXII of 1864","Second Class"
"HID0348","BB1888",1888,"British Burma Division","Bassein","British India","Act XIV of 1868","Third Class"
"HID0349","BB1888",1888,"British Burma Division","Prome","British India","Act XIV of 1868","Second Class"
"HID0350","BB1888",1888,"British Burma Division","Thayetmyo","British India","Act XXII of 1864","Second Class"
"HID0351","BB1888",1888,"British Burma Division","Akyab","British India","Act XIV of 1868","Second Class"
"HID0352","BB1888",1888,"British Burma Division","Moulmein","British India","Act XIV of 1868","Second Class"
"HID0353","BB1888",1888,"British Burma Division","Toungoo","British India","Act XIV of 1868","Third Class"
"HID0354","BB1888",1888,"British Burma Division","Henzada","British India","Act XIV of 1868","Third Class"
"HID0355","BB1889",1889,"British Burma Division","Rangoon","British India","Act XXII of 1864","Second Class"
"HID0356","BB1889",1889,"British Burma Division","Bassein","British India","Act XIV of 1868","Third Class"
"HID0357","BB1889",1889,"British Burma Division","Prome","British India","Act XIV of 1868","Second Class"
"HID0358","BB1889",1889,"British Burma Division","Thayetmyo","British India","Act XXII of 1864","Second Class"
"HID0359","BB1889",1889,"British Burma Division","Akyab","British India","Act XIV of 1868","Second Class"
"HID0360","BB1889",1889,"British Burma Division","Moulmein","British India","Act XIV of 1868","Second Class"
"HID0361","BB1889",1889,"British Burma Division","Toungoo","British India","Act XIV of 1868","Third Class"
"HID0362","BB1889",1889,"British Burma Division","Henzada","British India","Act XIV of 1868","Third Class"
